ID_HOSPITAL,NOME_HOSPITAL,ESFERA,ENDERECO,MUNICIPIO,REGIAO,LAT,LON,LEITOS,EQUIPAMENTOS_TOTAL,OPERACIONAIS,OCIOSOS,MANUTENCAO,DESCARTE
7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,Municipal,"RUA JAPORANGA, 1700, JAPUIBA - CEP 23934055",ANGRA DOS REIS,A classificar,-22.96817,-44.30036,157,55,55,0,0,0
2267454,HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC,Municipal,"RUA ANTONIO JOSE MOREIRA, 359, SAO VICENTE DE PAULA - CEP 28495000",APERIBE,A classificar,-21.621327014265688,-42.108728885650635,35,36,35,1,0,0
0221015,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4,Municipal,"MAJOR FELIX MOREIRA, 267, CENTRO - CEP 28979102",ARARUAMA,A classificar,-22.8740661,-42.3355732,70,61,61,0,0,0
2285150,HOSPITAL MUNICIPAL PREFEITO ARMANDO DA SILVA CARVALHO,Municipal,"RUA DR JOAO FLORENCIO SOBRINHO, S/N, SAO VICENTE DE PAULO - CEP 28988892",ARARUAMA,A classificar,-22.872260683632845,-42.34323978424072,18,24,24,0,0,0
2285975,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,Municipal,"AV PRES VARGAS, 250, CENTRO - CEP 25845000",AREAL,A classificar,-22.229978963522584,-43.10259242883515,20,62,62,0,0,0
6200702,HOSPITAL MUNICIPAL DR RODOLPHO PERISSE,Municipal,"ESTRADA DOS BUZIOS, S/N, HOSPITAL, SAO JOSE - CEP 28958580",ARMACAO DOS BUZIOS,A classificar,-22.774737229509423,-41.93082332611084,93,39,39,0,0,0
5916313,HOSPITAL MUNICIPAL DO OLHO,Municipal,"RUA TENENTE JOSE EDUARDO, 200, ANEXO, ANO BOM - CEP 27323240",BARRA MANSA,A classificar,-22.545438575088916,-44.17222738265991,7,45,45,0,0,0
2969734,HOSPITAL INFANTIL MILENE ISABELY CHRISTOVAM,Municipal,"AVENIDA JOAQUIM DA COSTA LIMA, S/N, PQ FERREIRAS - CEP 26116200",BELFORD ROXO,A classificar,-22.73171,-43.35362,32,133,133,0,0,0
2289571,HOSPITAL MUNICIPAL DE BELFORD ROXO,Municipal,"AVENIDA RETIRO DA IMPRENSA, 1013, VILA MEDEIROS - CEP 26112180",BELFORD ROXO,A classificar,-22.749984323954173,-43.40430021286011,65,168,168,0,0,0
5886740,MATERNIDADE MUNICIPAL DE BELFORD ROXO,Municipal,"AVENIDA BENJAMIN PINTO DIAS, S/N, CENTRO - CEP 26116200",BELFORD ROXO,A classificar,-22.7717459,-43.393851,60,10,10,0,0,0
6035809,UPA 24H BOM PASTOR BELFORD ROXO,Municipal,"RUA NEIDE SIMAO, 435, BOM PASTOR - CEP 26113300",BELFORD ROXO,A classificar,-22.764171789927868,-43.39827060699463,0,71,71,0,0,0
5903394,HOSPITAL MUNICIPAL DA MULHER EM CABO FRIO,Municipal,"FLORISBELA PENA, S/N, BRAGA - CEP 28908050",CABO FRIO,A classificar,-22.89252396939545,-42.03137397766113,50,58,58,0,0,0
2278138,HOSPITAL MUNICIPAL OTIME CARDOSO DOS SANTOS,Municipal,"EST VELHA DE BUZIOS, S/N, JD ESPERANCA - CEP 28922270",CABO FRIO,A classificar,-22.84188974893186,-42.025564312934875,60,12,12,0,0,0
