CO_UNIDADE,CO_CNES,NO_FANTASIA,NO_MUNICIPIO,CO_TIPO_EQUIPAMENTO,DS_TIPO_EQUIPAMENTO,CO_EQUIPAMENTO,DS_EQUIPAMENTO,QT_EXISTENTE,QT_USO,QT_SUS,QT_OCIOSO_ESTIMADO
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,1,DIAGNOSTICO POR IMAGEM,07,RAIO X ODONTOLOGICO,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,1,DIAGNOSTICO POR IMAGEM,11,Tomógrafo Computadorizado,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,1,DIAGNOSTICO POR IMAGEM,15,Ultrassom Convencional,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,1,DIAGNOSTICO POR IMAGEM,14,Ultrassom Ecografo,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,2,Equipamentos de Infra-Estrutura,21,Controle Ambiental/Ar-condicionado Central,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,2,Equipamentos de Infra-Estrutura,22,Grupo Gerador,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,2,Equipamentos de Infra-Estrutura,23,Usina de Oxigenio,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,7,Equipamentos de Odontologia,80,Equipo Odontologico,1,1,1,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,5,Equipamentos para Manutencao da Vida,52,Bomba de Infusao,20,20,20,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,5,Equipamentos para Manutencao da Vida,56,Desfibrilador,3,3,3,0
3300107354746,7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,5,Equipamentos para Manutencao da Vida,60,Monitor de ECG,3,3,3,0
