ID_HOSPITAL,HOSPITAL_REFERENCIA,MUNICIPIO_REFERENCIA,REGIAO_REFERENCIA,ENDERECO_REFERENCIA,LEITOS_REFERENCIA,LAT,LOG,TELEFONE_REFERENCIA,EMAIL_REFERENCIA
7354746,Hospital Munipal da Japuíba,Angra dos Reis,REGIÃO BAÍA DA ILHA GRANDE,"R. Japoranga, 1700 - Japuíba, Angra dos Reis - RJ, 23934-055",8.0,-229680084,-443021808,(24) 33686-556,
2704587,Hospital Municipal Hugo Miranda,Paraty,REGIÃO BAÍA DA ILHA GRANDE,"R. São Pedro de Alcântara, 01 - Pontal, Paraty - RJ, 23970-000",2.0,-232155488,-447155325,(24) 3371-6551,
2288109,Hospital Municipal Victor de Souza Breves,Mangaratiba,REGIÃO BAÍA DA ILHA GRANDE,"R. Dr. Nilo Peçanha 55 - Centro, Mangaratiba - RJ, 23860-000",2.0,-229611827,-440421347,(21) 2789-6012,
6200702,Hospital Municipal Dr. Rodolpho Perisse,Armação de Búzios,REGIÃO BAIXADA LITORÂNEA,"Estrada de Búzios, s/n, Lote 01, Qdra. 07 - São José - RJ, 28950-000",2.0,-227797349,-419351724,(22) 2623-7959,
2285150,Hospital Municipal Pref Armando da Silva Carvalho,Araruama ,REGIÃO BAIXADA LITORÂNEA,"R. Dr. José Florêncio Sobrinho, s/nº - São Vicente de Paulo",4.0,-227225903,-422546601,(22) 2666-1238,
2267802,Hospital Geral de Arraial do Cabo,Arraial do Cabo,REGIÃO BAIXADA LITORÂNEA,"Av. Getúlio Vargas, s/n - Praia Grande, Arraial do Cabo - RJ, 28930-000",2.0,-229758497,-420306983,(22) 2622-2107,
2283395,Hospital Municipal São José Operário,Cabo Frio,REGIÃO BAIXADA LITORÂNEA,"R. Gov. Valadares, 22 - São Cristóvão, Cabo Frio - RJ, 28909-010",8.0,-228920769,-420405158,(22) 2643-2732,
2280396,Hospital Municipal Angela Maria Simões Menezes,Cassimiro de Abreu ,REGIÃO BAIXADA LITORÂNEA,"R. Pastor Luís Laurentino da Silva, 1292 - Santa Ely, Casimiro de Abreu - RJ, 28860-000",2.0,-224919821,-422034886,(22) 2778-4440,
6069134,Hospital Municipal Drª Naelma Monteiro da Silva,Rio das Ostras,REGIÃO BAIXADA LITORÂNEA,"R. Nildon Lustosa, s/n - Parque Zabulao, Rio das Ostras - RJ, 28890-000",6.0,-225167734,-419460468,(22) 2771-6006,
4089189,Hospital Municipal  Nossa Senhora de Nazareth,Saquarema,REGIÃO BAIXADA LITORÂNEA,"R. O Lto Verde Vale, 259 - Verde Vale, Saquarema - RJ, 28990-000",4.0,-22897218,-424801453,(22) 2653-3123,
