CNES,Hospital,Municipio,Endereco,Telefone,Email
7354746,HOSPITAL MUNICIPAL DA JAPUIBA HMJ,ANGRA DOS REIS,"RUA JAPORANGA, 1700, JAPUIBA - CEP 23934055",24 33686556,HGJ.dtec@angra.rj.gov.br
2267454,HOSPITAL MUNICIPAL AUGUSTINHO GESUALD BLANC,APERIBE,"RUA ANTONIO JOSE MOREIRA, 359, SAO VICENTE DE PAULA - CEP 28495000",2238641710,saude.aperibe@bol.com.br
0221015,HOSPITAL MUNICIPAL DR JAQUELINE PRATES CNPJ 31 135 0460001 4,ARARUAMA,"MAJOR FELIX MOREIRA, 267, CENTRO - CEP 28979102",22 97402349,sesau01@gmail.com
2285150,HOSPITAL MUNICIPAL PREFEITO ARMANDO DA SILVA CARVALHO,ARARUAMA,"RUA DR JOAO FLORENCIO SOBRINHO, S/N, SAO VICENTE DE PAULO - CEP 28988892",(22)26661238,Nao informado no CNES
2285975,HOSPITAL MUNICIPAL NOSSA SENHORA DAS DORES,AREAL,"AV PRES VARGAS, 250, CENTRO - CEP 25845000",(24)22579702,hmnsdareal@gmail.com
6200702,HOSPITAL MUNICIPAL DR RODOLPHO PERISSE,ARMACAO DOS BUZIOS,"ESTRADA DOS BUZIOS, S/N, HOSPITAL, SAO JOSE - CEP 28958580",2226237622,saudebuzios@gmail.com
5916313,HOSPITAL MUNICIPAL DO OLHO,BARRA MANSA,"RUA TENENTE JOSE EDUARDO, 200, ANEXO, ANO BOM - CEP 27323240",Nao informado no CNES,Nao informado no CNES
2969734,HOSPITAL INFANTIL MILENE ISABELY CHRISTOVAM,BELFORD ROXO,"AVENIDA JOAQUIM DA COSTA LIMA, S/N, PQ FERREIRAS - CEP 26116200",Nao informado no CNES,Nao informado no CNES
2289571,HOSPITAL MUNICIPAL DE BELFORD ROXO,BELFORD ROXO,"AVENIDA RETIRO DA IMPRENSA, 1013, VILA MEDEIROS - CEP 26112180",(21)26621660,Nao informado no CNES
5886740,MATERNIDADE MUNICIPAL DE BELFORD ROXO,BELFORD ROXO,"AVENIDA BENJAMIN PINTO DIAS, S/N, CENTRO - CEP 26116200",Nao informado no CNES,Nao informado no CNES
6035809,UPA 24H BOM PASTOR BELFORD ROXO,BELFORD ROXO,"RUA NEIDE SIMAO, 435, BOM PASTOR - CEP 26113300",20709119,upa6_belfordroxo@saude.rj.gov.
5903394,HOSPITAL MUNICIPAL DA MULHER EM CABO FRIO,CABO FRIO,"FLORISBELA PENA, S/N, BRAGA - CEP 28908050",22 26462506,CONTABILIDADE_SAUDE@CABOFRIO.RJ.GOV.BR
2278138,HOSPITAL MUNICIPAL OTIME CARDOSO DOS SANTOS,CABO FRIO,"EST VELHA DE BUZIOS, S/N, JD ESPERANCA - CEP 28922270",(24)26299257,Nao informado no CNES
2696924,HOSPITAL MUNICIPAL DR CELSO MARTINS,CACHOEIRAS DE MACACU,"RUA PREFEITO JOSE DA SILVA, 177, CAMPO DO PRADO - CEP 28681300",(21)26492006,faturamentohmcm@gmail.com
